virus,positive_pools,total_reads_assigned,max_reads_in_pool,median_identity,max_genome_coverage_breadth,median_genome_coverage_breadth
Rhinovirus A,12,170550,89662,0.724954941816661,1.0,0.9727348993288591
Rhinovirus B,12,62681,30881,0.7476741878981086,1.0,0.8882418191902385
Human coronavirus OC43,6,20394,20386,0.9724573749875661,0.8863407176084057,0.16678052112813507
Rhinovirus C,6,677,329,0.7323086063252138,0.6350190167629244,0.2573601915762784
Influenza C,1,413,413,0.9597069597069597,0.8583242836855735,0.8583242836855735
Human coronavirus NL63,1,1,1,0.9811616954474097,0.046201865495590314,0.046201865495590314
